pitcher_name,game_year,team,pitcher,player_name.x,role,appearences,threat,pressure,momentum,danger,hero_save,hero_hold,hero_losing,hero_total,threat_plus,pressure_plus,momentum_plus,danger_plus,hero_save_plus,hero_hold_plus,hero_losing_plus,hero_plus,player_name.y,avg_danger_final,total_appearances.x,player_name,avg_net_danger,total_appearances.y
Amir Garrett,2023,KC,607237,"Garrett, Amir",RP,27,0.483763474,-0.05034707,0.007041332,-0.022360369,0.04586579,-0.302309015,0.50350838,0.247065156,105.3587112,83.98097388,109.5269147,85.25556924,91.55841351,87.09413486,100.5118739,88.70929801,"Garrett, Amir",-0.011980988,27,"Garrett, Amir",0.010379381,27
Amos Willingham,2023,WSH,686294,"Willingham, Amos",RP,18,0.458277171,-0.049477478,0.005953413,-0.019224892,0.061932996,-0.065655314,0.359798719,0.3560764,99.68392121,83.68341286,100.9624629,82.46316385,91.6765304,90.17260728,96.70733266,89.28957499,"Willingham, Amos",-0.009907585,18,"Willingham, Amos",0.009317307,18
Andre Jackson,2023,PIT,656578,"Jackson, Andre",RP,19,0.492366877,-0.075660914,0.003046914,-0.033297782,1.347879335,1.487114732,-0.433786273,2.401207794,107.2743485,92.6429828,78.08156472,94.9962532,101.1300711,110.3715721,75.69812028,100.1759993,"Jackson, Andre",-0.01191888,19,"Jackson, Andre",0.021378924,19
Andre Pallante,2023,STL,669467,"Pallante, Andre",RP,62,0.497746341,-0.094934813,0.006038487,-0.040443358,0.646496764,0.717158928,1.453449036,2.817104729,108.472142,99.23821526,101.6321994,101.3599887,95.97390829,100.3557232,125.6604152,102.3898573,"Pallante, Andre",-0.015505031,62,"Pallante, Andre",0.024938328,62
Andre Pallante,2024,STL,669467,"Pallante, Andre",RP,29,0.46512584,-0.085464532,0.002664979,-0.03606837,2.288917959,2.919924162,0.423192184,5.632034305,104.047243,95.64304451,72.620137,98.0854328,106.8468493,124.2387342,98.34547033,114.7801063,NA,NA,NA,NA,NA,NA
Andrés Machado,2023,WSH,600921,"Machado, Andrés",RP,44,0.529979945,-0.074288474,0.006441269,-0.035259933,0.422211946,1.304799578,0.423672968,2.150684491,115.6492889,92.17335502,104.8030249,96.7437135,94.32509481,107.9999541,98.39832692,98.8424405,"Machado, Andrés",-0.007684611,44,"Machado, Andrés",0.027575322,44
Andrés Muñoz,2023,SEA,662253,"Muñoz, Andrés",RP,52,0.430316356,-0.157519527,0.005978249,-0.054597872,3.084239367,-0.013543581,0.113970497,3.184666283,93.45815514,120.6537443,101.1579791,113.9657715,113.8947952,90.85049456,90.19932485,104.3464216,"Muñoz, Andrés",-0.001920904,52,"Muñoz, Andrés",0.052676968,52
Andrés Muñoz,2024,SEA,662253,"Muñoz, Andrés",RP,60,0.436933055,-0.165108316,0.006168221,-0.056710169,4.164904762,1.302565009,0.192109919,5.65957969,96.73059182,123.3117102,103.9766305,116.3277603,119.9861834,105.5312963,92.23168654,114.9153363,"Muñoz, Andrés",-0.001446622,60,"Muñoz, Andrés",0.055263547,60
Andrew Bellatti,2023,PHI,571479,"Bellatti, Andrew",RP,27,0.440363936,-0.069035037,0.006980152,-0.026184437,0.378525515,0.28571662,-0.163491995,0.50075014,95.69535322,90.37570944,109.0452857,88.66122269,94.0039372,94.7433738,82.85383762,90.05968674,"Bellatti, Andrew",-0.00180546,27,"Bellatti, Andrew",0.024378978,27
Andrew Chafin,2023,MIL,605177,"Chafin, Andrew",RP,63,0.432257771,-0.114125905,0.004716269,-0.042325346,0.859090077,0.645951132,0.538589557,2.043630767,93.89043138,105.8051125,91.22327188,103.0360567,97.53677252,99.42942776,101.440606,98.27258358,"Chafin, Andrew",-0.011245733,63,"Chafin, Andrew",0.031079613,63
